Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho
5F-BZO-POXIZID,0,0,0,0,0,0,0,0,0,2,0,0,0
Fluoro-BZO-POXIZID (unspecified isomer),0,0,0,0,0,0,0,0,0,3,0,0,0
Fluoro-CUMYL-PINACA,0,0,0,0,0,0,0,0,0,0,1,0,0
5F-CUMYL-PINACA,0,0,0,0,0,0,0,0,0,0,1,0,0
Fluoro-CUMYL-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-EDMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-EMB-PICA,0,0,0,0,0,0,0,0,0,9,1,0,0
5F-EMB-PICA,0,0,0,0,0,0,0,0,0,0,1,0,0
Fluoro-EMB-PICA (unspecified isomer),0,0,0,0,0,0,0,0,0,9,0,0,0
Fluoro-EMDB-PINACA,0,0,1,0,0,0,0,0,0,0,0,0,0
5F-EDMB-PINACA,0,0,1,0,0,0,0,0,0,0,0,0,0
Fluoro-MDMB-BUTICA,3,0,0,0,0,2,0,0,0,4,0,0,0
4F-MDMB-BUTICA,3,0,0,0,0,2,0,0,0,0,0,0,0
Fluoro-MDMB-BUTICA (unspecified isomer),0,0,0,0,0,0,0,0,0,4,0,0,0
Fluoro-MDMB-BUTINACA,0,0,0,1,0,0,0,0,0,0,1,0,0
4F-MDMB-BUTINACA,0,0,0,1,0,0,0,0,0,0,1,0,0
Fluoro-MDMB-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-MDMB-PICA,0,0,5,1,0,2,0,0,0,8,9,0,0
5F-MDMB-PICA,0,0,1,1,0,2,0,0,0,2,9,0,0
Fluoro-MDMB-PICA (unspecified isomer),0,0,4,0,0,0,0,0,0,6,0,0,0
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho
FUB-144,0,0,0,0,0,0,0,0,0,0,0,0,0
FUB-AKB48,0,0,0,1,0,0,0,0,0,0,0,0,0
FUB-AMB ,0,1,2,2,0,0,0,0,0,4,1,0,0
JWH-018,0,0,0,0,0,0,0,0,0,1,0,0,0
JWH-081,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-122,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-210,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-250,0,0,0,0,0,0,0,0,0,0,0,0,0
MAB-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-4en-PICA,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-bromo-INACA,0,0,0,0,0,1,0,0,0,6,2,0,0
MDMB-5Br-INACA,0,0,0,0,0,1,0,0,0,6,2,0,0
MDMB-bromo-INACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-BUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-CHMICA ,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-en-PINACA,25,0,10,29,8,19,1,0,0,125,13,0,3
MDMB-4en-PINACA,25,0,10,29,8,19,1,0,0,125,13,0,3
MDMB-en-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-INACA,0,0,0,0,0,0,0,0,0,1,0,0,0
MMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
MMB-FUBICA,0,0,0,0,0,0,0,0,0,0,0,0,0
NM-2201,0,0,0,0,0,0,0,0,0,0,0,0,0
RCS-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Synthetic cannabinoids1,0,0,20,0,0,0,0,0,0,2,0,0,0
Synthetic cannabinoids (butaldehydeamidoindoles)1,0,0,0,0,0,0,0,0,0,0,0,0,0
THJ-018,0,0,0,0,0,0,0,0,0,0,0,0,0
THJ-2201,0,0,0,0,0,0,0,0,0,0,0,0,0
UR-144,0,0,4,1,0,0,0,0,0,0,0,0,0
XLR11,0,0,6,0,0,0,0,0,0,2,2,0,0
Drug,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri
5F-AB-PINACA,0,0,0,0,0,2,0,0,0,0,0,0,0
5F-ADB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-AEB,0,0,0,0,0,0,0,0,0,0,1,0,0
5F-AKB48 ,0,0,0,8,0,0,0,0,0,0,0,0,0
5F-EDMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-FUBINACA,0,0,0,0,0,0,0,0,0,0,0,0,1
AB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
adamantyl-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-4en-PFUPPYCA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-4en-PINACA,3,4,0,0,12,1,0,0,2,0,0,0,1
ADB-5'Br-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-5Br-INACA,0,5,0,1,4,3,0,0,0,0,0,0,0
ADB-BINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-Br-BUTINACA,2,0,0,0,1,0,0,0,0,0,0,0,0
ADB-5Br-BUTINACA,2,0,0,0,1,0,0,0,0,0,0,0,0
ADB-Br-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-BUTINACA,28,92,10,50,62,21,0,6,102,0,1,21,19
ADB-FUBIATA,1,23,1,0,8,7,0,0,0,0,0,0,0
ADB-FUBINACA,0,0,0,0,2,0,0,2,0,0,0,0,0
ADB-HEXINACA,2,4,0,0,0,0,0,0,0,0,0,0,1
ADB-PHETINACA,0,0,0,3,0,0,0,0,0,0,0,0,0
ADB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
AFUBIATA,0,0,1,0,0,0,0,0,0,0,0,0,0
AKB48,0,0,0,0,0,0,0,0,0,0,0,0,0
AM2201,0,0,0,0,0,0,0,0,0,0,0,0,0
BZO-4en-POXIZID,0,0,0,2,0,2,0,0,0,0,0,0,0
BZO-CHMOXIZID,0,0,0,2,0,0,0,0,0,0,0,0,0
BZO-HEXOXIZID,0,21,2,15,3,2,0,0,0,0,1,0,0
BZO-POXIZID,0,16,1,5,1,3,0,0,0,0,1,0,0
CH-PIATA,0,25,3,2,4,0,0,0,0,0,0,0,3
Cyano-CUMYL-BUTINACA,0,0,1,2,1,0,0,0,0,0,0,0,1
4CN-CUMYL-BUTINACA,0,0,1,1,1,0,0,0,0,0,0,0,1
Cyano-CUMYL-BUTINACA (unspecified isomer),0,0,0,1,0,0,0,0,0,0,0,0,0
EDMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
EDMB-PINACA  ,0,0,0,0,0,0,0,0,0,0,0,0,1
EMB-FUBINACA,0,0,0,0,2,2,0,0,0,0,2,0,0
FDU-PB-22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fluoro-3,5-AB-PFUPPYCA",0,4,0,0,0,0,0,0,0,0,0,0,0
"5F-3,5-AB-PFUPPYCA",0,4,0,0,0,0,0,0,0,0,0,0,0
"Fluoro-3,5-AB-PFUPPYCA (unspecified isomer)",0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-ABUTINACA,0,2,0,0,3,0,0,1,0,0,0,0,0
4F-ABUTINACA  ,0,2,0,0,3,0,0,1,0,0,0,0,0
Fluoro-ABUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-ADB,1,2,1,0,0,0,0,0,0,0,0,0,0
5F-ADB ,1,2,1,0,0,0,0,0,0,0,0,0,0
Fluoro-BZO-POXIZID,0,2,0,6,1,0,0,0,0,0,0,0,1
5F-BZO-POXIZID,0,2,0,0,1,0,0,0,0,0,0,0,1
Fluoro-BZO-POXIZID (unspecified isomer),0,0,0,6,0,0,0,0,0,0,0,0,0
Fluoro-CUMYL-PINACA,0,0,0,0,0,0,0,0,0,0,0,9,0
5F-CUMYL-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-CUMYL-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,9,0
Fluoro-EDMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-EMB-PICA,0,1,0,3,2,0,0,0,0,0,0,1,0
5F-EMB-PICA,0,1,0,1,2,0,0,0,0,0,0,0,0
Fluoro-EMB-PICA (unspecified isomer),0,0,0,2,0,0,0,0,0,0,0,1,0
Fluoro-EMDB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-EDMB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-MDMB-BUTICA,4,6,1,11,4,1,0,0,0,0,0,1,0
4F-MDMB-BUTICA,4,1,1,0,4,1,0,0,0,0,0,0,0
Fluoro-MDMB-BUTICA (unspecified isomer),0,5,0,11,0,0,0,0,0,0,0,1,0
Fluoro-MDMB-BUTINACA,2,3,0,2,17,0,0,0,2,0,0,0,0
4F-MDMB-BUTINACA,2,2,0,2,17,0,0,0,2,0,0,0,0
Fluoro-MDMB-BUTINACA (unspecified isomer),0,1,0,0,0,0,0,0,0,0,0,0,0
Fluoro-MDMB-PICA,0,7,0,8,3,6,0,0,5,0,0,9,0
5F-MDMB-PICA,0,6,0,0,3,6,0,0,5,0,0,7,0
Fluoro-MDMB-PICA (unspecified isomer),0,1,0,8,0,0,0,0,0,0,0,2,0
FUB-144,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri
FUB-AKB48,0,0,0,0,0,0,0,0,0,0,0,0,0
FUB-AMB ,0,3,0,0,0,0,0,2,1,0,0,1,1
JWH-018,0,0,4,0,0,0,0,0,0,0,0,0,0
JWH-081,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-122,0,0,0,1,0,0,0,0,0,0,0,0,0
JWH-210,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-250,0,0,0,1,0,0,0,0,0,0,0,0,0
MAB-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-4en-PICA,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-bromo-INACA,1,3,1,3,2,4,0,0,0,0,0,0,1
MDMB-5Br-INACA,1,3,1,1,2,4,0,0,0,0,0,0,1
MDMB-bromo-INACA (unspecified isomer),0,0,0,2,0,0,0,0,0,0,0,0,0
MDMB-BUTINACA,0,0,0,0,4,0,0,0,0,0,0,0,2
MDMB-CHMICA ,0,0,2,0,0,11,0,0,0,0,0,0,0
MDMB-en-PINACA,52,91,49,77,58,40,1,5,102,1,3,19,24
MDMB-4en-PINACA,52,91,49,71,58,40,1,5,102,1,3,19,24
MDMB-en-PINACA (unspecified isomer),0,0,0,6,0,0,0,0,0,0,0,0,0
MDMB-INACA,0,2,5,0,1,0,0,0,0,0,0,0,0
MMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,1,0
MMB-FUBICA,0,0,0,0,0,1,0,0,0,0,0,0,0
NM-2201,0,0,0,0,0,0,0,0,0,0,0,0,0
RCS-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Synthetic cannabinoids1,0,0,0,0,0,457,2,0,85,0,0,0,0
Synthetic cannabinoids (butaldehydeamidoindoles)1,0,0,0,0,0,73,0,0,0,0,0,0,0
THJ-018,0,0,0,0,0,0,0,0,0,0,0,0,0
THJ-2201,0,0,0,0,0,0,0,0,0,0,0,0,0
UR-144,0,0,0,1,0,0,0,0,0,0,0,0,0
XLR11,0,0,0,0,0,0,0,1,0,0,0,0,2
Drug,Montana,Nebraska,Nevada,"New
Hampshire",New Jersey,New Mexico,New York,"North
Carolina",North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania
5F-AB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-ADB-PINACA,0,0,1,0,0,0,0,0,0,0,0,0,0
5F-AEB,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-AKB48 ,0,0,0,0,0,0,0,0,0,1,0,0,0
5F-EDMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-CHMINACA,0,0,0,0,0,0,0,0,0,2,0,0,0
AB-FUBINACA,0,0,0,0,0,0,1,0,1,2,0,0,0
AB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
adamantyl-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-4en-PFUPPYCA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-4en-PINACA,0,1,0,0,6,0,0,0,0,0,0,0,4
ADB-5'Br-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-5Br-INACA,0,0,0,0,3,0,0,0,0,3,0,0,5
ADB-BINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-Br-BUTINACA,0,0,0,0,8,0,0,2,0,0,0,0,25
ADB-5Br-BUTINACA,0,0,0,0,8,0,0,2,0,0,0,0,25
ADB-Br-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-BUTINACA,0,3,7,2,61,0,4,18,0,71,0,0,122
ADB-FUBIATA,0,0,0,0,0,0,0,2,0,19,0,0,37
ADB-FUBINACA,0,0,0,0,0,0,0,1,0,2,0,0,0
ADB-HEXINACA,0,0,0,0,0,0,0,0,0,0,0,0,8
ADB-PHETINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
AFUBIATA,0,0,0,0,0,0,0,0,0,0,0,0,0
AKB48,0,0,0,0,0,0,0,0,0,0,0,0,0
AM2201,0,0,0,0,0,0,0,0,0,0,0,0,0
BZO-4en-POXIZID,0,0,0,0,0,0,0,0,0,0,0,0,0
BZO-CHMOXIZID,0,0,0,0,0,0,0,0,0,0,0,0,0
BZO-HEXOXIZID,0,0,0,0,0,0,1,1,0,6,0,0,4
BZO-POXIZID,0,0,0,0,3,0,0,0,0,1,0,0,11
CH-PIATA,0,0,0,0,6,0,0,2,0,8,0,0,7
Cyano-CUMYL-BUTINACA,0,0,3,0,1,0,0,1,0,0,0,0,1
4CN-CUMYL-BUTINACA,0,0,3,0,1,0,0,1,0,0,0,0,1
Cyano-CUMYL-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
EDMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
EDMB-PINACA  ,0,0,0,0,0,0,0,0,0,0,0,0,0
EMB-FUBINACA,0,0,0,0,0,0,0,1,0,0,0,0,4
FDU-PB-22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fluoro-3,5-AB-PFUPPYCA",0,1,0,0,2,0,0,0,0,0,0,0,3
"5F-3,5-AB-PFUPPYCA",0,1,0,0,0,0,0,0,0,0,0,0,3
"Fluoro-3,5-AB-PFUPPYCA (unspecified isomer)",0,0,0,0,2,0,0,0,0,0,0,0,0
Fluoro-ABUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,2
4F-ABUTINACA  ,0,0,0,0,0,0,0,0,0,0,0,0,2
Fluoro-ABUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-ADB,0,0,0,1,0,0,0,0,0,28,0,0,12
5F-ADB ,0,0,0,1,0,0,0,0,0,28,0,0,12
Fluoro-BZO-POXIZID,0,0,0,0,0,0,0,0,0,5,0,0,2
5F-BZO-POXIZID,0,0,0,0,0,0,0,0,0,5,0,0,2
Fluoro-BZO-POXIZID (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-CUMYL-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-CUMYL-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-CUMYL-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-EDMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-EMB-PICA,0,0,0,0,2,0,0,0,0,0,0,0,7
5F-EMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,7
Fluoro-EMB-PICA (unspecified isomer),0,0,0,0,2,0,0,0,0,0,0,0,0
Fluoro-EMDB-PINACA,0,0,0,1,0,0,0,0,0,6,0,0,0
5F-EDMB-PINACA,0,0,0,1,0,0,0,0,0,6,0,0,0
Fluoro-MDMB-BUTICA,0,0,0,0,4,0,0,0,0,8,0,0,10
4F-MDMB-BUTICA,0,0,0,0,0,0,0,0,0,8,0,0,10
Fluoro-MDMB-BUTICA (unspecified isomer),0,0,0,0,4,0,0,0,0,0,0,0,0
Fluoro-MDMB-BUTINACA,0,1,0,0,1,0,0,2,0,2,0,0,17
4F-MDMB-BUTINACA,0,1,0,0,0,0,0,2,0,2,0,0,17
Fluoro-MDMB-BUTINACA (unspecified isomer),0,0,0,0,1,0,0,0,0,0,0,0,0
Fluoro-MDMB-PICA,0,0,0,0,3,0,0,3,0,7,1,0,28
5F-MDMB-PICA,0,0,0,0,0,0,0,3,0,7,1,0,28
Fluoro-MDMB-PICA (unspecified isomer),0,0,0,0,3,0,0,0,0,0,0,0,0
Drug,Montana,Nebraska,Nevada,"New
Hampshire",New Jersey,New Mexico,New York,"North
Carolina",North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania
FUB-144,0,0,0,0,0,0,0,0,0,0,0,0,1
FUB-AKB48,0,0,0,0,0,0,0,0,0,1,0,0,0
FUB-AMB ,0,0,1,0,30,0,1,0,0,4,0,0,27
JWH-018,0,0,0,0,0,0,0,0,0,1,0,0,0
JWH-081,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-122,0,0,0,0,0,0,0,0,0,1,0,0,0
JWH-210,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-250,0,0,0,0,0,0,0,0,0,0,0,0,0
MAB-CHMINACA,0,0,1,0,0,0,0,0,0,2,0,0,0
MDMB-4en-PICA,0,0,0,0,17,0,0,0,0,0,0,0,0
MDMB-bromo-INACA,0,0,0,0,0,0,0,0,0,2,0,0,3
MDMB-5Br-INACA,0,0,0,0,0,0,0,0,0,2,0,0,3
MDMB-bromo-INACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-BUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,8
MDMB-CHMICA ,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-en-PINACA,0,6,7,4,164,0,36,7,0,155,1,0,246
MDMB-4en-PINACA,0,6,7,4,164,0,36,7,0,155,1,0,246
MDMB-en-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-INACA,0,0,0,0,0,0,9,0,0,0,0,0,3
MMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
MMB-FUBICA,0,0,0,0,0,0,0,0,0,0,0,0,0
NM-2201,0,0,0,0,0,0,0,0,0,0,0,0,1
RCS-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Synthetic cannabinoids1,2,0,0,0,0,0,50,1,0,0,0,0,0
Synthetic cannabinoids (butaldehydeamidoindoles)1,0,0,0,0,0,0,0,0,0,0,0,0,0
THJ-018,0,0,0,0,1,0,0,0,0,0,0,0,0
THJ-2201,0,0,0,0,0,0,0,0,0,1,0,0,0
UR-144,0,0,0,0,0,0,0,0,0,0,0,0,0
XLR11,0,0,0,0,0,0,0,0,0,9,0,0,0
Drug,Rhode Island,"South
Carolina",South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming,
5F-AB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
5F-ADB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
5F-AEB,0,0,0,0,2,0,0,0,0,0,0,0,
5F-AKB48 ,0,0,0,0,1,0,0,0,0,0,0,0,
5F-EDMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,
AB-CHMINACA,0,0,0,0,0,0,0,1,0,0,0,0,
AB-FUBINACA,0,0,0,1,3,2,0,0,0,0,1,0,
AB-PINACA,0,0,0,0,1,0,0,0,0,0,0,0,
adamantyl-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-4en-PFUPPYCA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-4en-PINACA,0,0,0,1,0,0,0,1,0,0,0,0,
ADB-5'Br-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-5Br-INACA,0,0,0,0,2,0,0,1,0,0,0,0,
ADB-BINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-Br-BUTINACA,0,0,0,0,5,0,0,1,0,0,0,0,
ADB-5Br-BUTINACA,0,0,0,0,5,0,0,1,0,0,0,0,
ADB-Br-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
ADB-BUTINACA,1,1,0,8,59,22,0,32,1,1,1,0,
ADB-FUBIATA,0,0,0,0,43,0,0,1,0,0,0,0,
ADB-FUBINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-HEXINACA,0,0,0,0,29,0,0,0,0,0,0,0,
ADB-PHETINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-PINACA,0,0,0,0,0,0,0,0,0,2,0,0,
AFUBIATA,0,0,0,0,0,0,0,0,0,0,0,0,
AKB48,0,0,0,0,1,0,0,0,0,0,0,0,
AM2201,0,0,0,0,1,0,0,0,0,4,0,0,
BZO-4en-POXIZID,0,0,0,0,6,0,0,0,0,0,0,0,
BZO-CHMOXIZID,0,0,0,0,1,0,0,0,0,0,0,0,
BZO-HEXOXIZID,0,0,0,1,10,0,0,1,0,0,0,0,
BZO-POXIZID,0,0,0,0,17,0,0,0,0,0,1,0,
CH-PIATA,0,0,0,2,4,0,0,1,0,0,0,0,
Cyano-CUMYL-BUTINACA,0,0,0,1,10,0,0,2,0,0,0,0,
4CN-CUMYL-BUTINACA,0,0,0,1,10,0,0,2,0,0,0,0,
Cyano-CUMYL-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
EDMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
EDMB-PINACA  ,0,0,0,0,0,0,0,1,0,0,0,0,
EMB-FUBINACA,0,0,0,0,2,0,0,0,0,0,0,0,
FDU-PB-22,0,0,0,0,0,0,0,0,0,0,0,0,
"Fluoro-3,5-AB-PFUPPYCA",0,0,0,0,0,0,0,0,0,0,0,0,
"5F-3,5-AB-PFUPPYCA",0,0,0,0,0,0,0,0,0,0,0,0,
"Fluoro-3,5-AB-PFUPPYCA (unspecified isomer)",0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-ABUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,
4F-ABUTINACA  ,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-ABUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-ADB,0,0,0,0,4,0,0,4,0,0,0,0,
5F-ADB ,0,0,0,0,4,0,0,4,0,0,0,0,
Fluoro-BZO-POXIZID,0,0,0,0,0,0,0,0,0,0,0,0,
5F-BZO-POXIZID,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-BZO-POXIZID (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-CUMYL-PINACA,0,0,0,1,0,0,0,0,0,0,0,0,
5F-CUMYL-PINACA,0,0,0,1,0,0,0,0,0,0,0,0,
Fluoro-CUMYL-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-EDMB-PICA,0,0,0,0,1,0,0,0,0,0,0,0,
Fluoro-EMB-PICA,0,0,0,1,1,0,0,1,0,0,0,0,
5F-EMB-PICA,0,0,0,1,1,0,0,1,0,0,0,0,
